Codi_districte,Coordenada_UTM_X_ED50,Nk_Any,Causa conductor,Nom_districte,Descripcio_torn,Coordenada_UTM_Y_ED50,Codi_carrer,Nom_carrer,Dia_mes,Nom_mes,Nom_barri,Hora_dia,Número_expedient,Latitud_WGS84,Codi_barri,Mes_any,_id,Num_postal,Longitud_WGS84,Descripcio_dia_setmana
1,430843.618,2025,No respectar distàncies,Ciutat Vella,Tarda,4580926.531,198804,Paral·lel,5,Gener,el Raval,14,2025S000065,41.37503971,1,1,1,48,2.17187632,Diumenge
1,430453.561,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581623.910,254803,Peu de la Creu,9,Gener,el Raval,23,2025S000133,41.38128717,1,1,2,,2.16713227,Dijous
1,430453.561,2025,No respectat pas de vianants,Ciutat Vella,Nit,4581623.910,254803,Peu de la Creu,9,Gener,el Raval,23,2025S000133,41.38128717,1,1,3,,2.16713227,Dijous
1,431179.015,2025,Manca precaució incorporació circulació,Ciutat Vella,Matí,4581196.729,34308,Rambla,10,Gener,el Raval,13,2025S000159,41.37750208,1,1,4,9,2.17585604,Divendres
1,430352.425,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4581614.925,368100,Guifré,15,Gener,el Raval,16,2025S000256,41.38119749,1,1,5,,2.16592388,Dimecres
1,431106.571,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4581001.166,269200,Portal de Santa Madrona,16,Gener,el Raval,18,2025S000301,41.37573449,1,1,6,,2.17501202,Dijous
1,430731.601,2025,,Ciutat Vella,Nit,4580968.994,86902,Nou de la Rambla,19,Gener,el Raval,0,2025S000335,41.37541252,1,1,7,103,2.17053206,Diumenge
1,430178.716,2025,Avançament defectuós/improcedent,Ciutat Vella,Tarda,4581781.979,296508,Sant Antoni,19,Gener,el Raval,20,2025S000344,41.38268702,1,1,8,66,2.16382736,Diumenge
1,430972.098,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581122.920,140203,Drassanes,20,Gener,el Raval,6,2025S000353,41.37681957,1,1,9,14,2.17339021,Dilluns
1,430453.561,2025,Manca precaució incorporació circulació,Ciutat Vella,Nit,4581623.910,167709,Joaquín Costa,29,Gener,el Raval,0,2025S000521,41.38128717,1,1,10,,2.16713227,Dimecres
1,430467.436,2025,No respectat pas de vianants,Ciutat Vella,Matí,4581526.468,701215,Maria Aurèlia Capmany,29,Gener,el Raval,10,2025S000526,41.38041074,1,1,11,,2.16730938,Dimecres
1,431006.919,2025,No determinada,Ciutat Vella,Tarda,4581454.052,348907,Unió,31,Gener,el Raval,19,2025S000597,41.37980497,1,1,12,3-5,2.17376886,Divendres
1,430684.954,2025,No respectar distàncies,Ciutat Vella,Matí,4582066.489,34308,Rambla,6,Febrer,el Raval,10,2025S000693,41.38529332,1,2,13,135,2.16984868,Dijous
1,430972.098,2025,No determinada,Ciutat Vella,Nit,4581122.920,140203,Drassanes,7,Febrer,el Raval,22,2025S000737,41.37681957,1,2,14,14,2.17339021,Divendres
1,430601.160,2025,No determinada,Ciutat Vella,Matí,4581056.732,308505,Sant Pau,8,Febrer,el Raval,8,2025S000742,41.37619151,1,2,15,99B-101,2.16896229,Dissabte
1,430934.440,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4580915.689,198804,Paral·lel,14,Febrer,el Raval,8,2025S000848,41.37494986,1,2,16,36,2.17296353,Divendres
1,430578.975,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4580942.337,198804,Paral·lel,16,Febrer,el Raval,21,2025S000890,41.37515927,1,2,17,74,2.16871013,Diumenge
1,431121.687,2025,Canvi de carril sense precaució,Ciutat Vella,Matí,4580897.913,198804,Paral·lel,23,Febrer,el Raval,6,2025S001009,41.37480582,1,2,18,26,2.17520450,Diumenge
1,431214.128,2025,Canvi de carril sense precaució,Ciutat Vella,Matí,4580892.358,701349,Drassanes,24,Febrer,el Raval,12,2025S001019,41.37476369,1,2,19,0,2.17631046,Dilluns
1,431302.276,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4580803.952,701497,B-10 (Llobregat),27,Febrer,el Raval,1,2025S001082,41.37397498,1,2,20,K110,2.17737449,Dijous
