id,id_tiempo,id_territorio,id_tipo_delito,coneguts,resolts,detencions
1,13,1,1,6,0,0
2,13,1,2,4,0,0
3,13,1,3,1,0,0
4,13,1,4,101,27,0
5,13,1,5,1,0,0
6,13,1,6,2,2,0
7,13,1,7,0,1,0
8,13,1,8,1,0,0
9,13,1,9,18,4,0
10,13,1,10,3,2,0
11,13,1,11,1,0,0
12,13,1,12,0,1,0
13,13,1,13,7,3,0
14,13,1,14,1,1,0
15,13,1,15,1,0,0
16,13,1,16,1,1,0
17,13,2,2,3,2,1
18,13,2,17,4,5,1
19,13,2,18,11,13,6
20,13,2,19,2,2,0
21,13,2,3,7,1,0
22,13,2,20,38,3,3
23,13,2,21,55,9,11
24,13,2,22,31,5,1
25,13,2,23,12,2,1
26,13,2,24,0,1,2
27,13,2,5,1,1,0
28,13,2,25,1,1,0
29,13,2,6,6,5,2
30,13,2,26,4,4,2
31,13,2,27,1,1,0
32,13,2,10,4,3,2
33,13,2,28,2,2,1
34,13,2,29,1,1,0
35,13,2,30,22,23,3
36,13,2,31,16,17,1
37,13,2,32,6,6,1
38,13,2,33,3,3,1
39,13,2,14,3,3,5
40,13,2,15,155,21,0
41,13,2,34,1,1,0
42,13,2,35,1,1,0
43,13,2,16,37,36,0
44,13,3,1,0,1,0
45,13,3,2,1,1,0
46,13,3,17,10,12,11
47,13,3,18,4,4,2
48,13,3,19,3,1,0
49,13,3,3,8,7,0
50,13,3,4,1,1,0
51,13,3,20,33,9,4
52,13,3,21,44,12,5
53,13,3,22,23,0,1
54,13,3,23,12,7,11
55,13,3,24,3,4,2
56,13,3,36,1,1,0
57,13,3,25,1,1,0
58,13,3,6,3,4,2
59,13,3,37,1,1,0
60,13,3,26,2,2,3
61,13,3,38,4,0,0
62,13,3,27,1,1,0
63,13,3,10,3,3,1
64,13,3,29,1,0,1
65,13,3,39,2,2,0
66,13,3,30,16,16,0
67,13,3,31,17,17,0
68,13,3,32,1,1,0
69,13,3,40,1,1,1
70,13,3,33,2,2,0
71,13,3,14,1,1,1
72,13,3,15,125,29,0
73,13,3,35,3,3,0
74,13,3,16,35,33,0
75,13,4,41,1,1,1
76,13,4,2,3,2,0
77,13,4,42,0,1,0
78,13,4,17,16,16,9
79,13,4,18,19,19,8
80,13,4,19,2,1,0
